HUM;TEM;NOX;CO;UV;label
73;16;8;51;224;3
73;16;10;50;223;3
73;16;10;48;223;3
73;16;9;45;222;3
74;16;99;46;224;3
74;16;99;43;222;3
74;16;9;42;222;3
74;16;9;45;222;3
75;15;9;44;222;3
75;16;9;43;222;3
75;16;8;53;223;3
75;16;8;49;224;3
76;16;8;50;223;3
76;16;8;48;222;3
75;16;8;44;222;3
74;17;7;46;223;3
73;17;7;46;223;3
73;17;7;45;222;3
73;16;7;45;223;3
73;16;7;47;223;3
74;16;7;47;221;3
74;16;7;46;225;3
